Age,Special,Potential,Wage,General,GK,Position,Class
27,1471,93,260.0,37.758620689655174,88.8,GK,1
25,1331,93,94.0,33.37931034482759,86.6,GK,1
26,1328,92,240.0,33.172413793103445,87.0,GK,1
26,1311,90,240.0,32.93103448275862,84.4,GK,1
32,1473,89,130.0,38.0,88.2,GK,1
31,1335,88,150.0,33.96551724137931,83.0,GK,1
33,1262,88,110.0,31.413793103448278,84.0,GK,1
40,1334,88,77.0,33.86206896551724,84.4,GK,1
31,1345,87,195.0,34.275862068965516,83.6,GK,1
24,1463,90,125.0,38.206896551724135,85.0,GK,1
25,1320,90,115.0,33.241379310344826,84.2,GK,1
28,1270,87,125.0,31.93103448275862,81.8,GK,1
27,1355,86,72.0,34.827586206896555,82.0,GK,1
25,1254,89,105.0,31.482758620689655,81.2,GK,1
26,1278,87,115.0,32.275862068965516,81.6,GK,1
28,1132,84,74.0,26.82758620689655,80.4,GK,1
29,1333,85,42.0,34.0,82.2,GK,1
31,1254,84,41.0,31.379310344827587,82.0,GK,1
31,1351,84,78.0,34.793103448275865,81.8,GK,1
23,1223,91,84.0,30.413793103448278,80.8,GK,1
24,1435,88,78.0,37.51724137931034,83.2,GK,1
25,1261,87,25.0,29.896551724137932,82.8,GK,1
28,1295,84,41.0,32.96551724137931,80.6,GK,1
28,1222,84,42.0,30.103448275862068,80.2,GK,1
33,1284,83,70.0,32.48275862068966,81.4,GK,1
29,1179,84,38.0,29.482758620689655,77.0,GK,1
31,1299,83,55.0,32.827586206896555,82.0,GK,1
30,1352,83,74.0,34.86206896551724,81.4,GK,1
29,1299,84,35.0,32.724137931034484,81.4,GK,1
33,1218,83,51.0,30.413793103448278,80.0,GK,1
33,1191,83,33.0,28.93103448275862,81.4,GK,1
35,1299,83,56.0,32.89655172413793,81.8,GK,1
26,1060,85,30.0,24.310344827586206,78.8,GK,1
19,1278,93,23.0,32.48275862068966,80.8,GK,1
30,1191,82,32.0,29.551724137931036,80.2,GK,1
23,1319,87,21.0,33.62068965517241,81.2,GK,1
29,1292,84,135.0,32.89655172413793,79.8,GK,1
26,1250,85,46.0,30.655172413793103,80.2,GK,1
27,1245,85,50.0,31.137931034482758,80.0,GK,1
31,1213,82,45.0,30.17241379310345,80.0,GK,1
32,1169,82,15.0,28.482758620689655,81.4,GK,1
31,1180,82,52.0,29.0,80.4,GK,1
36,1166,82,60.0,28.862068965517242,78.4,GK,1
37,1308,82,10.0,34.241379310344826,77.0,GK,1
23,1139,86,36.0,27.689655172413794,79.4,GK,1
27,1114,84,27.0,26.82758620689655,79.8,GK,1
25,1266,85,61.0,32.3448275862069,78.4,GK,1
32,1359,81,52.0,35.06896551724138,79.0,GK,1
33,1212,81,70.0,30.310344827586206,79.2,GK,1
22,1369,85,14.0,35.310344827586206,80.4,GK,1
26,1264,85,26.0,32.13793103448276,78.6,GK,1
31,1224,80,22.0,30.586206896551722,77.0,GK,1
