ID,Age,Nationality,Potential,Club,Wage,Special,Preferred Foot,International Reputation,Weak Foot,Skill Moves,Work Rate,Body Type,Position,Joined,Contract Valid Until,Height,Weight,Release Clause,General,GK
193080,27,Spain,93,Manchester United,260.0,1471,Right,4.0,3.0,1.0,Medium/ Medium,Lean,GK,2011.0,2020.0,76.0,168.0,138600.0,37.758620689655174,88.8
200389,25,Slovenia,93,Atlético Madrid,94.0,1331,Right,3.0,3.0,1.0,Medium/ Medium,Normal,GK,2014.0,2021.0,74.0,192.0,144500.0,33.37931034482759,86.6
192448,26,Germany,92,FC Barcelona,240.0,1328,Right,3.0,4.0,1.0,Medium/ Medium,Normal,GK,2014.0,2022.0,74.0,187.0,123300.0,33.172413793103445,87.0
192119,26,Belgium,90,Real Madrid,240.0,1311,Left,4.0,2.0,1.0,Medium/ Medium,Normal,GK,2018.0,2024.0,78.0,212.0,113700.0,32.93103448275862,84.4
167495,32,Germany,89,FC Bayern München,130.0,1473,Right,5.0,4.0,1.0,Medium/ Medium,Normal,GK,2011.0,2021.0,76.0,203.0,62700.0,38.0,88.2
167948,31,France,88,Tottenham Hotspur,150.0,1335,Left,4.0,1.0,1.0,Medium/ Medium,Lean,GK,2012.0,2022.0,74.0,181.0,66600.0,33.96551724137931,83.0
162835,33,Slovenia,88,Inter,110.0,1262,Right,3.0,2.0,1.0,Medium/ Medium,Normal,GK,2012.0,2021.0,76.0,203.0,51000.0,31.413793103448278,84.0
1179,40,Italy,88,Paris Saint-Germain,77.0,1334,Right,4.0,2.0,1.0,Medium/ Medium,Normal,GK,2018.0,2019.0,76.0,203.0,7400.0,33.86206896551724,84.4
193041,31,Costa Rica,87,Real Madrid,195.0,1345,Right,3.0,3.0,1.0,Medium/ Medium,Normal,GK,2014.0,2020.0,73.0,176.0,62500.0,34.275862068965516,83.6
210257,24,Brazil,90,Manchester City,125.0,1463,Left,2.0,3.0,1.0,Medium/ Medium,Normal,GK,2017.0,2025.0,74.0,190.0,79900.0,38.206896551724135,85.0
212831,25,Brazil,90,Liverpool,115.0,1320,Right,3.0,3.0,1.0,Medium/ Medium,Normal,GK,2018.0,2024.0,75.0,201.0,72100.0,33.241379310344826,84.2
186153,28,Poland,87,Juventus,125.0,1270,Right,3.0,3.0,1.0,Medium/ Medium,Lean,GK,2017.0,2021.0,77.0,198.0,55200.0,31.93103448275862,81.8
199482,27,Portugal,86,Olympique Lyonnais,72.0,1355,Left,2.0,2.0,1.0,Medium/ Medium,Normal,GK,2011.0,2020.0,72.0,179.0,49400.0,34.827586206896555,82.0
198009,25,Italy,89,Juventus,105.0,1254,Right,2.0,3.0,1.0,Medium/ Medium,Lean,GK,2018.0,2022.0,74.0,170.0,50900.0,31.482758620689655,81.2
192563,26,Germany,87,Arsenal,115.0,1278,Right,3.0,4.0,1.0,Medium/ Medium,Normal,GK,2018.0,2023.0,75.0,183.0,53300.0,32.275862068965516,81.6
190941,28,Finland,84,Bayer 04 Leverkusen,74.0,1132,Right,2.0,3.0,1.0,Medium/ Medium,Lean,GK,2018.0,2023.0,76.0,187.0,37400.0,26.82758620689655,80.4
178750,29,Spain,85,Villarreal CF,42.0,1333,Right,2.0,3.0,1.0,Medium/ Medium,Stocky,GK,2014.0,2022.0,74.0,192.0,52200.0,34.0,82.2
167628,31,France,84,AS Saint-Étienne,41.0,1254,Right,3.0,3.0,1.0,Medium/ Medium,Stocky,GK,2011.0,2021.0,74.0,205.0,36100.0,31.379310344827587,82.0
163587,31,Denmark,84,Leicester City,78.0,1351,Right,2.0,3.0,1.0,Medium/ Medium,Stocky,GK,2011.0,2023.0,74.0,196.0,36100.0,34.793103448275865,81.8
206585,23,Spain,91,Chelsea,84.0,1223,Right,1.0,4.0,1.0,Medium/ Medium,Lean,GK,2018.0,2025.0,73.0,187.0,58400.0,30.413793103448278,80.8
204935,24,England,88,Everton,78.0,1435,Left,1.0,4.0,1.0,Medium/ Medium,Normal,GK,2017.0,2024.0,73.0,170.0,49400.0,37.51724137931034,83.2
200316,25,Germany,87,1. FC Köln,25.0,1261,Left,2.0,3.0,1.0,Medium/ Medium,Normal,GK,2011.0,2023.0,76.0,198.0,37800.0,29.896551724137932,82.8
194404,28,Brazil,84,Valencia CF,41.0,1295,Right,2.0,2.0,1.0,Medium/ Medium,Lean,GK,2017.0,2021.0,75.0,185.0,45700.0,32.96551724137931,80.6
