ID,Age,Nationality,Potential,Club,Wage,Special,Preferred Foot,International Reputation,Weak Foot,Skill Moves,Work Rate,Body Type,Position,Joined,Contract Valid Until,Height,Weight,Release Clause,Forward,Mid,Back,General,GK
158023,31,Argentina,94,FC Barcelona,565.0,2202,Left,5.0,4.0,4.0,Medium/ Medium,Normal,RF,2004.0,2021.0,67.0,159.0,226500.0,90.875,89.125,57.0,77.37931034482759,10.8
20801,33,Portugal,94,Juventus,405.0,2228,Right,5.0,4.0,5.0,High/ Low,Normal,ST,2018.0,2022.0,74.0,183.0,127100.0,90.125,85.375,59.4,78.10344827586206,11.6
190871,26,Brazil,93,Paris Saint-Germain,290.0,2143,Right,5.0,5.0,5.0,High/ Medium,Normal,LW,2017.0,2022.0,69.0,150.0,228100.0,87.125,85.75,57.1,75.10344827586206,11.8
192985,27,Belgium,92,Manchester City,355.0,2281,Right,4.0,5.0,4.0,High/ High,Normal,RCM,2015.0,2023.0,71.0,154.0,196400.0,85.125,87.625,72.9,79.75862068965517,11.2
183277,27,Belgium,91,Chelsea,340.0,2142,Right,4.0,4.0,4.0,High/ Medium,Normal,LF,2012.0,2020.0,68.0,163.0,172100.0,86.375,86.375,58.8,75.44827586206897,9.0
177003,32,Croatia,91,Real Madrid,420.0,2280,Right,4.0,4.0,4.0,High/ High,Lean,RCM,2012.0,2020.0,68.0,146.0,137400.0,81.625,87.125,77.8,79.72413793103448,10.4
176580,31,Uruguay,91,FC Barcelona,455.0,2346,Right,5.0,4.0,3.0,High/ Medium,Normal,RS,2014.0,2021.0,72.0,190.0,164000.0,86.75,82.5,66.3,78.55172413793103,30.6
155862,32,Spain,91,Real Madrid,380.0,2201,Right,4.0,3.0,3.0,High/ Medium,Normal,RCB,2005.0,2020.0,72.0,181.0,104600.0,71.5,72.75,84.3,77.13793103448276,9.2
188545,29,Poland,90,FC Bayern München,205.0,2152,Right,4.0,4.0,4.0,High/ Medium,Normal,ST,2014.0,2021.0,72.0,176.0,127100.0,85.625,80.25,59.5,75.41379310344827,10.2
182521,28,Germany,90,Real Madrid,355.0,2190,Right,4.0,5.0,3.0,Medium/ Medium,Normal,LCM,2014.0,2022.0,72.0,168.0,156800.0,80.25,84.25,77.4,76.6896551724138,10.2
182493,32,Uruguay,90,Atlético Madrid,125.0,1946,Right,3.0,3.0,2.0,Medium/ High,Lean,CB,2010.0,2019.0,74.0,172.0,90200.0,62.5,64.5,81.4,68.24137931034483,9.8
168542,32,Spain,90,Manchester City,285.0,2115,Left,4.0,2.0,4.0,High/ Medium,Normal,LCM,2010.0,2020.0,68.0,148.0,111000.0,81.625,85.75,64.7,74.55172413793103,9.2
215914,27,France,90,Chelsea,225.0,2189,Right,3.0,3.0,2.0,Medium/ High,Lean,LDM,2016.0,2023.0,66.0,159.0,121300.0,75.125,80.125,84.8,76.55172413793103,10.8
211110,24,Argentina,94,Juventus,205.0,2092,Left,3.0,3.0,4.0,High/ Medium,Normal,LF,2015.0,2022.0,70.0,165.0,153500.0,85.125,83.75,54.5,74.13793103448276,5.2
202126,24,England,91,Tottenham Hotspur,205.0,2165,Right,3.0,4.0,3.0,High/ High,Normal,ST,2010.0,2024.0,74.0,196.0,160700.0,84.25,80.625,63.2,75.86206896551724,10.8
